date,time,sender,message,VADER_Sentiment,Manual_Label,ML_Sentiment
27/01/25,20:16,rohxn 03,Ok ok,Positive,Neutral,Neutral
27/01/25,20:16,Gass,Try it now,Neutral,Neutral,Neutral
27/01/25,20:18,rohxn 03,Endu bevarsi kuduka?,Neutral,Neutral,Neutral
27/01/25,20:19,Wifey❤️,1st word is wrong,Negative,Neutral,Neutral
27/01/25,20:19,Wifey❤️,endu allaa,Neutral,Neutral,Neutral
27/01/25,20:19,rohxn 03,First letter is aa ee u u that shit ryt,Negative,Neutral,Neutral
27/01/25,20:19,Wifey❤️,no,Negative,Neutral,Neutral
27/01/25,20:19,rohxn 03,I dont know swarakshara that much,Neutral,Neutral,Neutral
27/01/25,20:19,rohxn 03,Bha??,Neutral,Neutral,Neutral
27/01/25,20:19,Wifey❤️,it is ondu,Neutral,Neutral,Neutral
27/01/25,20:19,Gass,First letter is o,Neutral,Neutral,Neutral
27/01/25,20:20,Wifey❤️,ondu means one,Neutral,Neutral,Neutral
27/01/25,20:20,rohxn 03,🤨🤨🤨thats what i told ryt aa ee uu antha🤨,Neutral,Neutral,Neutral
27/01/25,20:20,rohxn 03,Ooooooo ok ok,Positive,Neutral,Neutral
27/01/25,20:20,Wifey❤️,okok learn slowly no rush,Negative,Neutral,Neutral
27/01/25,20:20,rohxn 03,Kuduka means?,Neutral,Neutral,Neutral
27/01/25,20:20,Gass,Yeah It means ur one bevarsi kuduka 🍻,Positive,Neutral,Neutral
27/01/25,20:21,Wifey❤️,he will drink alottttttttttttttttt,Neutral,Neutral,Neutral
27/01/25,20:21,rohxn 03,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:21,rohxn 03,Ooooo ok ok,Positive,Neutral,Neutral
27/01/25,20:22,Gass,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:22,rohxn 03,Write like this,Positive,Neutral,Neutral
27/01/25,20:23,Gass,ಫಸ್ಟ್ ಸ್ಟೇಜ್,Neutral,Neutral,Neutral
27/01/25,20:23,Gass,It's actually english in Kannada letters😂,Positive,Neutral,Neutral
27/01/25,20:23,rohxn 03,Ok ok,Positive,Neutral,Neutral
27/01/25,20:23,rohxn 03,Lemme guess,Neutral,Neutral,Neutral
27/01/25,20:24,Wifey❤️,u 2 ppl separate agi txt madi because amma idare soo i cant delete each message,Neutral,Neutral,Neutral
27/01/25,20:24,rohxn 03,First stage?,Neutral,Neutral,Neutral
27/01/25,20:24,rohxn 03,Ok ok😆,Positive,Neutral,Neutral
27/01/25,20:24,Gass,Yeah,Positive,Neutral,Neutral
27/01/25,20:24,rohxn 03,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:24,Wifey❤️,correct,Neutral,Neutral,Neutral
27/01/25,20:24,Wifey❤️,oh gof,Neutral,Neutral,Neutral
27/01/25,20:24,Gass,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:24,Wifey❤️,okay okay txt separately ppl'sssssssss,Positive,Neutral,Neutral
27/01/25,20:24,rohxn 03,<Media omitted>,Neutral,Neutral,Neutral
27/01/25,20:24,rohxn 03,Ok,Positive,Neutral,Neutral
27/01/25,20:25,Gass,Enough lesson for today,Neutral,Neutral,Neutral
27/01/25,20:25,Gass,Let's continue tomorrow,Neutral,Neutral,Neutral
27/01/25,20:25,Gass,<Media omitted>,Neutral,Neutral,Neutral
15/02/25,18:42,rohxn 03,<Media omitted>,Neutral,Neutral,Neutral
17/02/25,18:25,rohxn 03,*AICTE AND MSME Internship Opportunity @ IIT & IIM  IBM TOP MNCs is Now Open* 🌟🎓,Positive,Neutral,Neutral
,,system,"*The AICTE and MSME have announced an exciting internship opportunity for students. This program offers a stipend of ₹20,000-₹25,000 which can significantly help in covering your semester fees.* 💰✨",Positive,Neutral,Neutral
,,system,*EXTRA BENEFITS👇🏻* 🎁,Positive,Neutral,Neutral
,,system,*- AICTE & ISO Approved internship completion certificates* 📜,Positive,Neutral,Neutral
,,system,*- Letter of recommendation for your jobs and higher studies* 📄🏆,Neutral,Neutral,Neutral
,,system,*- Placement assistance (Mock interview and aptitude tests)* 📝🎯,Negative,Neutral,Neutral
,,system,*Limited seats available! Scholarships for the first registered students!* 🚀🧑‍🎓,Negative,Neutral,Neutral
,,system,*Join the group below for more details* 📋✍️,Positive,Neutral,Neutral
,,system,https://chat.whatsapp.com/GREixAhDRoILrVMnfhHMka,Neutral,Neutral,Neutral
,,system,*Scholarships apply for each and every student. APPLY NOW AND TAKE A STEP TOWARDS A BRIGHTER FUTURE!* 🌟🚀,Positive,Neutral,Neutral
,,system,"27/02/25, 11:45 - Wifey❤️ changed the group name from ""Internship-II(Smart Attendance 📸)"" to ""Facial Emotion Recognition!""",Neutral,Neutral,Neutral
27/02/25,11:45,Wifey❤️,<Media omitted>,Neutral,Neutral,Neutral
27/02/25,11:46,Wifey❤️,This is tomorrows ppt,Neutral,Neutral,Neutral
27/02/25,11:46,Wifey❤️,Nishita and Ammu pls do make this change:,Positive,Neutral,Neutral
,,system,1. first slide give our name and USN <This message was edited>,Neutral,Neutral,Neutral
27/02/25,11:48,Wifey❤️,2. Complete problem statement slide,Negative,Neutral,Neutral
27/02/25,11:48,Wifey❤️,"3. ive done 3 literature work, in that the 2nd literature survey, pls add any image regarding that paper",Positive,Neutral,Neutral
27/02/25,11:50,Wifey❤️,And last task:,Neutral,Neutral,Neutral
,,system,"Ammu and Nishita, give a quick scan through our ppt and check for any spelling mistakes or suggest anything to remove or add",Negative,Neutral,Neutral
27/02/25,21:31,rohxn 03,@919663957450  and @918799146002 ...... Pls do the above task,Positive,Neutral,Neutral
,,system,Then only we can assign slides for each person,Neutral,Neutral,Neutral
27/02/25,22:02,rohxn 03,Ppl atleast respond🤦🏻‍♂️,Neutral,Neutral,Neutral
,,system,Karma,Neutral,Neutral,Neutral
27/02/25,22:20,Nishita 🪰,https://ieeexplore.ieee.org/abstract/document/9074302,Neutral,Neutral,Neutral
27/02/25,22:21,Wifey❤️,https://www.sciencedirect.com/science/article/pii/S1319157818303379,Neutral,Neutral,Neutral
27/02/25,22:22,Wifey❤️,https://www.sciencedirect.com/science/article/abs/pii/S0169260722000062?via%3Dihub,Neutral,Neutral,Neutral
27/02/25,22:34,Wifey❤️,<Media omitted>,Neutral,Neutral,Neutral
27/02/25,22:34,Wifey❤️,"Nishitaa this is application slide, include this ppt, after literature survey",Neutral,Neutral,Neutral
27/02/25,22:36,Wifey❤️,Objective and Motivation,Positive,Neutral,Neutral
,,system,"There are several areas where emotion recognition techniques are used, like in digital cameras to automatically take pictures when the user smiles.",Positive,Neutral,Neutral
,,system,"However, the most promising applications involve the humanization of artificial intelligent systems. If computers are able to keep track of the mental state of the user, robots can react upon this and behave appropriately. Emotion recognition, therefore, plays a key role in improving human-machine interaction.",Positive,Neutral,Neutral
,,system,"Focusing on the objective, using a neural network-based artificially intelligent system capable of deriving the emotion of a person through pictures of his or her face.",Positive,Neutral,Neutral
27/02/25,22:37,Wifey❤️,"dont put the title as ""Objective and Motivation",Positive,Neutral,Neutral
,,system,""", instead ""Objectives"" is fyn",Neutral,Neutral,Neutral
27/02/25,23:33,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
27/02/25,23:36,Nishita 🪰,"Rohan should explain the slides : Introduction, Problem Statement and Applications",Negative,Neutral,Neutral
,,system,Guna should explain the slides: Dataset and Objective,Neutral,Neutral,Neutral
,,system,Rohith should explain: Literature Survey (3 slides),Neutral,Neutral,Neutral
,,system,Remaining I will explain,Neutral,Neutral,Neutral
27/02/25,23:36,Nishita 🪰,React to this msg with 👍 <This message was edited>,Neutral,Neutral,Neutral
28/02/25,00:01,rohxn 03,"Rohan should explain the slides : Introduction, Problem Statement",Negative,Neutral,Neutral
,,system,Guna should explain the slides: Dataset and Objective,Neutral,Neutral,Neutral
,,system,Rohith should explain: Literature Survey (3 slides),Neutral,Neutral,Neutral
,,system,Applications and conclusion Nishita😊,Positive,Neutral,Neutral
28/02/25,00:02,rohxn 03,React with booty emoji!!🤌🏻,Neutral,Neutral,Neutral
28/02/25,00:08,Gass,Fire in the booty😁🔥,Negative,Neutral,Neutral
28/02/25,09:27,Wifey❤️,<Media omitted>,Neutral,Neutral,Neutral
28/02/25,10:44,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
28/02/25,10:44,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
28/02/25,10:44,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
28/02/25,10:44,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
28/02/25,10:44,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
28/02/25,10:44,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
04/03/25,19:40,rohxn 03,People tomorrow we r presenting our ppt,Neutral,Neutral,Neutral
,,system,So all of u should prepare ur part of the slide and come,Neutral,Neutral,Neutral
,,system,@916364562073  u have to be there in class the whole day,Neutral,Neutral,Neutral
,,system,As we dont know when we have to present.... After presentation u leave,Negative,Neutral,Neutral
04/03/25,19:40,Wifey❤️,oky,Neutral,Neutral,Neutral
04/03/25,19:42,Gass,I will be there myre,Neutral,Neutral,Neutral
04/03/25,19:42,Gass,When I have came out in between in that guys class 😒,Neutral,Neutral,Neutral
04/03/25,19:42,Gass,I only play in Manish classes 😂,Positive,Neutral,Neutral
04/03/25,19:43,rohxn 03,@918799146002 try running the other code exp 2,Neutral,Neutral,Neutral
,,system,And see howz the result coming,Neutral,Neutral,Neutral
,,system,If we got any preliminary result which is more convincing than the first,Positive,Neutral,Neutral
,,system,We can update,Neutral,Neutral,Neutral
,,system,Sooo.....,Neutral,Neutral,Neutral
,,system,React with booty emogi if u saw😒,Neutral,Neutral,Neutral
04/03/25,19:43,rohxn 03,😭😭,Negative,Neutral,Neutral
,,system,No im telling don't go to ur room quickly antha,Negative,Neutral,Neutral
04/03/25,19:44,Gass,<Media omitted>,Neutral,Neutral,Neutral
04/03/25,19:47,Nishita 🪰,Should I use jupyter nb or colab ??,Neutral,Neutral,Neutral
04/03/25,20:01,rohxn 03,JN is fyn,Neutral,Neutral,Neutral
04/03/25,23:36,Nishita 🪰,Rohan,Neutral,Neutral,Neutral
04/03/25,23:36,rohxn 03,Yeah,Positive,Neutral,Neutral
04/03/25,23:36,Nishita 🪰,I have ran all codes of exp2,Neutral,Neutral,Neutral
04/03/25,23:36,rohxn 03,Howzit,Neutral,Neutral,Neutral
04/03/25,23:37,Nishita 🪰,We are getting 98 and 93 accuracy,Neutral,Neutral,Neutral
04/03/25,23:37,rohxn 03,<Media omitted>,Neutral,Neutral,Neutral
04/03/25,23:37,Nishita 🪰,Like it is train and validation accuracy,Positive,Neutral,Neutral
04/03/25,23:37,rohxn 03,Ok fine.... Which model it is,Positive,Neutral,Neutral
04/03/25,23:37,rohxn 03,Which algo. Is used,Neutral,Neutral,Neutral
04/03/25,23:37,rohxn 03,Cnn?,Neutral,Neutral,Neutral
04/03/25,23:38,Nishita 🪰,Yaa,Neutral,Neutral,Neutral
04/03/25,23:38,Nishita 🪰,And one code is matching ml algo code,Neutral,Neutral,Neutral
04/03/25,23:38,rohxn 03,Can we plot a confusion matrix out of it??,Negative,Neutral,Neutral
04/03/25,23:38,Nishita 🪰,Yes I think so,Positive,Neutral,Neutral
04/03/25,23:38,rohxn 03,Didnt understood,Neutral,Neutral,Neutral
04/03/25,23:39,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
04/03/25,23:39,Nishita 🪰,This one...,Neutral,Neutral,Neutral
04/03/25,23:39,rohxn 03,Not today sleep now,Neutral,Neutral,Neutral
,,system,Tomorrow we will plot confusion matrix do the evaluation part,Negative,Neutral,Neutral
04/03/25,23:39,Nishita 🪰,Okk,Neutral,Neutral,Neutral
04/03/25,23:39,rohxn 03,Done!!,Neutral,Neutral,Neutral
04/03/25,23:39,rohxn 03,We will use exp 2 code then,Neutral,Neutral,Neutral
04/03/25,23:39,Nishita 🪰,For preliminary result we can use this,Neutral,Neutral,Neutral
04/03/25,23:39,rohxn 03,Yep,Positive,Neutral,Neutral
04/03/25,23:40,Nishita 🪰,Ok sir 👍,Positive,Neutral,Neutral
04/03/25,23:40,Nishita 🪰,You can cp2 timetable ??,Neutral,Neutral,Neutral
04/03/25,23:40,rohxn 03,Yes i can,Positive,Neutral,Neutral
04/03/25,23:40,rohxn 03,What i can😭,Negative,Neutral,Neutral
04/03/25,23:40,Nishita 🪰,This message was deleted,Neutral,Neutral,Neutral
04/03/25,23:40,rohxn 03,🤨🤨🤨,Neutral,Neutral,Neutral
04/03/25,23:40,rohxn 03,Whaaat,Neutral,Neutral,Neutral
04/03/25,23:41,rohxn 03,What me too,Neutral,Neutral,Neutral
04/03/25,23:41,rohxn 03,I didn't understood,Neutral,Neutral,Neutral
04/03/25,23:41,rohxn 03,Ur drunk🤨🤨,Negative,Neutral,Neutral
04/03/25,23:41,Nishita 🪰,Meaning two exams a day,Neutral,Neutral,Neutral
04/03/25,23:41,rohxn 03,Haa yass yasss,Neutral,Neutral,Neutral
04/03/25,23:41,Wifey❤️,Is that u saw the cp2 timetable??,Neutral,Neutral,Neutral
04/03/25,23:41,rohxn 03,😆,Positive,Neutral,Neutral
04/03/25,23:41,Nishita 🪰,Yes I forgot to put that word,Positive,Neutral,Neutral
04/03/25,23:42,rohxn 03,Nale inda shuru maadbekku🤌🏻,Neutral,Neutral,Neutral
04/03/25,23:42,rohxn 03,Ass bite,Negative,Neutral,Neutral
04/03/25,23:42,Gass,<Media omitted>,Neutral,Neutral,Neutral
04/03/25,23:42,rohxn 03,Ok then lemme have a seggzeee sleeep,Positive,Neutral,Neutral
04/03/25,23:42,rohxn 03,Daaattaaaaaaaa,Neutral,Neutral,Neutral
04/03/25,23:42,rohxn 03,Gunnite,Neutral,Neutral,Neutral
04/03/25,23:43,Gass,<Media omitted>,Neutral,Neutral,Neutral
04/03/25,23:43,Nishita 🪰,💤👋,Positive,Neutral,Neutral
04/03/25,23:43,Wifey❤️,Byebye good night🌙,Positive,Neutral,Neutral
05/03/25,09:35,rohxn 03,"Ppl, be there in class at 10 15",Neutral,Neutral,Neutral
,,system,Especially @918799146002,Neutral,Neutral,Neutral
,,system,We need to do the code and update ppt(preliminary slide),Neutral,Neutral,Neutral
05/03/25,10:56,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
05/03/25,12:05,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
05/03/25,14:22,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
05/03/25,14:22,Nishita 🪰,<Media omitted>,Neutral,Neutral,Neutral
05/03/25,14:36,Gass,Myre when are we presenting,Neutral,Neutral,Neutral
05/03/25,14:36,Gass,What time should I be there?,Neutral,Neutral,Neutral
05/03/25,14:39,Wifey❤️,Come now,Neutral,Neutral,Neutral
05/03/25,14:39,Wifey❤️,We will  Leave in 10 mins,Negative,Neutral,Neutral
05/03/25,14:39,Gass,Okay,Positive,Neutral,Neutral
05/03/25,14:44,Wifey❤️,<Media omitted>,Neutral,Neutral,Neutral
05/03/25,15:05,rohxn 03,"We got 3 literature surveys from google scholars, which are published after 2020",Neutral,Neutral,Neutral
,,system,Names....,Neutral,Neutral,Neutral
05/03/25,15:05,rohxn 03,They also  used  ferc 2013 dataset,Neutral,Neutral,Neutral
05/03/25,15:41,Nishita 🪰,Vision Transformers (ViTs) – ViT models trained on emotion datasets can achieve state-of-the-art results.,Positive,Neutral,Neutral
,,system,DAN (Deep Attention Network) – Focuses on attention mechanisms to improve FER accuracy.,Positive,Neutral,Neutral
13/03/25,17:07,rohxn 03,<Media omitted>,Neutral,Neutral,Neutral
13/03/25,17:07,rohxn 03,Read this and tell is it worth,Positive,Neutral,Neutral
13/03/25,17:07,rohxn 03,What are ur opinions,Neutral,Neutral,Neutral
13/03/25,17:28,Nishita 🪰,We have to attend this cie is there for this,Neutral,Neutral,Neutral
13/03/25,17:29,Wifey❤️,cie??,Neutral,Neutral,Neutral
13/03/25,17:29,rohxn 03,This workshop is a must??,Neutral,Neutral,Neutral
13/03/25,17:30,Nishita 🪰,It is 2 credits,Positive,Neutral,Neutral
13/03/25,17:30,Nishita 🪰,They mentioned,Neutral,Neutral,Neutral
13/03/25,17:30,rohxn 03,Yeah i know,Positive,Neutral,Neutral
13/03/25,17:30,rohxn 03,But this is not must ryt,Neutral,Neutral,Neutral
13/03/25,17:30,rohxn 03,Whoever attends should not miss a single day,Positive,Neutral,Neutral
13/03/25,17:30,rohxn 03,Thats what i guess they mentioned,Neutral,Neutral,Neutral
13/03/25,17:31,Nishita 🪰,Idk they mentioned in the time table this subject,Negative,Neutral,Neutral
13/03/25,17:32,Nishita 🪰,It's better u ask Sailaja Ma'am once,Positive,Neutral,Neutral
13/03/25,17:32,Nishita 🪰,Message her so that we get a clarity,Positive,Neutral,Neutral
13/03/25,17:43,rohxn 03,<Media omitted>,Neutral,Neutral,Neutral
13/03/25,17:43,rohxn 03,Ok,Positive,Neutral,Neutral
13/03/25,17:44,Wifey❤️,im scared ayyoooooooooooooo,Negative,Neutral,Neutral
13/03/25,17:45,Nishita 🪰,Me toooo,Neutral,Neutral,Neutral
13/03/25,17:45,Nishita 🪰,This message was deleted,Neutral,Neutral,Neutral
13/03/25,17:46,Nishita 🪰,Are you texting her ??,Neutral,Neutral,Neutral
13/03/25,17:49,rohxn 03,😁,Positive,Neutral,Neutral
13/03/25,17:49,rohxn 03,No this guy,Negative,Neutral,Neutral
13/03/25,17:49,rohxn 03,Edufyi,Neutral,Neutral,Neutral
13/03/25,17:49,Wifey❤️,daaa,Neutral,Neutral,Neutral
13/03/25,17:50,rohxn 03,If your performance and score is 78+ you will get,Neutral,Neutral,Neutral
13/03/25,17:50,Wifey❤️,pick the call,Neutral,Neutral,Neutral
13/03/25,17:50,rohxn 03,Haaa,Neutral,Neutral,Neutral
13/03/25,17:50,rohxn 03,One more time,Neutral,Neutral,Neutral
13/03/25,17:50,Nishita 🪰,What will you get ??,Neutral,Neutral,Neutral
13/03/25,17:50,rohxn 03,Stipend,Neutral,Neutral,Neutral
13/03/25,20:51,Nishita 🪰,Rohan,Neutral,Neutral,Neutral
,,system,U received any msg ??,Neutral,Neutral,Neutral
13/03/25,21:14,rohxn 03,Regarding what?,Neutral,Neutral,Neutral
13/03/25,21:15,Nishita 🪰,Edufyi,Neutral,Neutral,Neutral
13/03/25,21:15,rohxn 03,Nope,Neutral,Neutral,Neutral
13/03/25,21:16,Nishita 🪰,Will they send mail or WhatsApp ??,Neutral,Neutral,Neutral
13/03/25,21:27,rohxn 03,Absolute no idea!,Negative,Neutral,Neutral
14/03/25,08:44,rohxn 03,<Media omitted>,Neutral,Neutral,Neutral
14/03/25,08:45,Wifey❤️,😳,Neutral,Neutral,Neutral
14/03/25,08:45,Wifey❤️,When it is changed,Neutral,Neutral,Neutral
14/03/25,08:45,Gass,Oh oh jolly jolly 🥳🌝,Positive,Neutral,Neutral
14/03/25,08:45,Gass,<Media omitted>,Neutral,Neutral,Neutral
14/03/25,08:45,rohxn 03,Who knows,Neutral,Neutral,Neutral
,,system,I just came to eat upma and saw this,Neutral,Neutral,Neutral
14/03/25,08:45,Wifey❤️,Great enjoy enjoy,Positive,Neutral,Neutral
14/03/25,08:46,Gass,Do U know the reason 🤣🤣🤣,Positive,Neutral,Neutral
14/03/25,08:46,rohxn 03,Major told came here once and saw the food and made some changes,Neutral,Neutral,Neutral
14/03/25,08:46,rohxn 03,Thats all i know,Neutral,Neutral,Neutral
14/03/25,08:46,Gass,No no you are completely wrong 😂😂,Positive,Neutral,Neutral
14/03/25,08:47,rohxn 03,Then??,Neutral,Neutral,Neutral
14/03/25,08:47,Gass,When I was there in hostel fee was 1.13 lac,Neutral,Neutral,Neutral
,,system,Now its 1.80 lacs😂😂,Positive,Neutral,Neutral
14/03/25,08:48,Gass,Simple money speaks everywhere 💀🌝,Neutral,Neutral,Neutral
14/03/25,08:49,rohxn 03,Oooooooooo,Neutral,Neutral,Neutral
14/03/25,08:49,rohxn 03,Yes yes 22 k increased u know,Positive,Neutral,Neutral
14/03/25,08:50,rohxn 03,1.55 lakh,Neutral,Neutral,Neutral
14/03/25,08:51,Gass,No for new students its 1.80 lacs,Negative,Neutral,Neutral
14/03/25,08:52,rohxn 03,Its not same for everyone??,Neutral,Neutral,Neutral
14/03/25,08:52,Gass,One of my friend told me,Positive,Neutral,Neutral
14/03/25,08:52,Gass,Obviously no😂😂,Positive,Neutral,Neutral
14/03/25,08:53,Gass,Round of 70k hike,Neutral,Neutral,Neutral
14/03/25,08:54,rohxn 03,😳ooooo,Neutral,Neutral,Neutral
,,system,So its the money which talked😁,Positive,Neutral,Neutral
14/03/25,08:55,Gass,"Roughly 70,000 X 1000 students = 7,00,00,000 extra every year",Neutral,Neutral,Neutral
14/03/25,08:55,Gass,What do you even need more than this 😂😂😂,Positive,Neutral,Neutral
14/03/25,08:55,Gass,Obviously yes😂😂😂😋,Positive,Neutral,Neutral
14/03/25,08:56,Gass,"1.8 lacs X 1000= 18,00,00,000🌝",Neutral,Neutral,Neutral
14/03/25,08:57,Gass,And its rough there are more than 1000 students,Neutral,Neutral,Neutral
14/03/25,08:57,Gass,They are saving more than 50% in this,Neutral,Neutral,Neutral
14/03/25,08:57,Gass,And its called business 😎,Positive,Neutral,Neutral
14/03/25,09:19,rohxn 03,True🤌🏻,Neutral,Neutral,Neutral
14/03/25,09:20,rohxn 03,@918799146002 Text him,Neutral,Neutral,Neutral
,,system,The edufyi guy about the updates,Neutral,Neutral,Neutral
14/03/25,10:06,rohxn 03,Edufyi Tech Solutions.vcf (file attached),Neutral,Neutral,Neutral
15/03/25,16:42,Wifey❤️,https://drive.google.com/drive/folders/126Q4qsWuXYU3rdCqp5ePu570A_F4HHsB?usp=sharing,Neutral,Neutral,Neutral
